,ID,Customer_ID,Month,Name,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,0x1608,CUS_0xd40,July,Aaron Maashoh,23.0,Scientist,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8_,11.27,4.0,Good,809.98,22.53759303178384,22 Years and 7 Months,No,49.57494921489417,178.3440674122349,Low_spent_Small_value_payments,244.5653167062043,Good
1,0x1615,CUS_0x21b1,August,Rick Rothackerj,28.0,Teacher,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,Credit-Builder Loan,3,4,5.42,2.0,Good,605.03,32.933856293622235,27 Years and 2 Months,No,18.816214573128885,218.90434353388733,Low_spent_Small_value_payments,356.07810855965045,Good
2,0x1621,CUS_0x2dbc,August,Langep,34.0,Engineer,143162.64,12187.22,1.0,5.0,8.0,3.0,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,3.0,Good,1303.01,38.37475294778511,18 Years and 4 Months,No,246.9923194537421,10000.0,High_spent_Small_value_payments,895.494583180492,Standard
3,0x1628,CUS_0xb891,March,Jasond,55.0,Entrepreneur,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,Not Specified,3,9,1.99,4.0,Good,632.46,32.30116343180253,17 Years and 5 Months,NM,16.415451659824875,83.40650880252501,High_spent_Medium_value_payments,411.42712287098345,Standard
4,0x1669,CUS_0x4157,August,Charlie Zhur,24.0,Doctor,114838.41,9843.8675,2.0,5.0,7.0,3.0,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8.0,Good,1377.74,27.813353640375272,21 Years and 11 Months,No,226.8927919215432,254.5717672483792,High_spent_Large_value_payments,742.9221908300779,Standard
5,0x1670,CUS_0xba08,March,Jamesj,44.0,Journalist,31370.8,2825.233333333333,1.0,6.0,12.0,2.0,"Not Specified, and Payday Loan",-2,0,1.7599999999999998,5.0,Good,421.43,31.04641790511995,26 Years and 7 Months,No,46.61612907334207,140.8206959818371,Low_spent_Medium_value_payments,375.0865082781542,Good
6,0x167f,CUS_0xa66b,June,Saphirj,40.0,Teacher,33751.27,2948.605833333333,5.0,5.0,20.0,3.0,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8.0,Standard,1328.93,32.78263672653516,19 Years and 7 Months,Yes,65.00817428651536,72.86008181289458,High_spent_Medium_value_payments,406.9923272339233,Standard
7,0x168b,CUS_0xc0ab,June,Soyoungd,33.0,Engineer,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,"Payday Loan, and Payday Loan",4,0,3.51,3.0,Good,950.36,38.32363895436978,25 Years and 10 Months,No,135.17337097171767,686.1262165951837,Low_spent_Small_value_payments,195.36907909976551,Good
8,0x1699,CUS_0x3e45,August,Harriet McLeodd,36.0,Entrepreneur,54392.16,4766.68,6.0,4.0,14.0,3.0,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7.0,Standard,179.22,32.8788050668308,27 Years and 5 Months,Yes,124.39208242092045,495.1178978821161,Low_spent_Small_value_payments,147.15801969696355,Standard
9,0x16a2,CUS_0x6c66,May,Sinead Carews,39.0,Manager,8701.545,519.12875,6.0,5.0,32.0,7.0,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,9,8.86,6.0,Standard,2602.69,37.16937449181636,9 Years and 3 Months,Yes,36.54819717138717,50.486952198712274,Low_spent_Small_value_payments,254.87772562990054,Poor
10,0x16b1,CUS_0xff4,August,Poornimaf,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",15,13_,7.83,5.0,Standard,758.44,39.33348789822524,18 Years and 9 Months,Yes,101.3286373638512,189.8158613334768,Low_spent_Medium_value_payments,230.44100130267208,Standard
